region,month,inflation,year,date
KOTA BATAM,April,2.15,2026,4/1/2026
KOTA BATAM,Mei,5.75,2026,5/1/2026
KOTA TANJUNG PINANG,Januari,1.99,2026,1/1/2026
KOTA TANJUNG PINANG,Februari,4.1,2026,2/1/2026
KOTA TANJUNG PINANG,Maret,3.99,2026,3/1/2026
KOTA TANJUNG PINANG,April,3.2,2026,4/1/2026
KOTA TANJUNG PINANG,Mei,6.98,2026,5/1/2026
KOTA JAKARTA,Januari,0.02,2026,1/1/2026
KOTA JAKARTA,Februari,3.6,2026,2/1/2026
KOTA JAKARTA,Maret,3.29,2026,3/1/2026
KOTA JAKARTA,April,2.53,2026,4/1/2026
KOTA JAKARTA,Mei,4.64,2026,5/1/2026
KAB BANDUNG,Januari,1.2,2026,1/1/2026
KAB BANDUNG,Februari,3.83,2026,2/1/2026
KAB BANDUNG,Maret,3.57,2026,3/1/2026
KAB BANDUNG,April,3.7,2026,4/1/2026
KAB BANDUNG,Mei,5.3,2026,5/1/2026
KAB MAJALENGKA,Januari,1.05,2026,1/1/2026
KAB MAJALENGKA,Februari,4.9,2026,2/1/2026
KAB MAJALENGKA,Maret,5.75,2026,3/1/2026
KAB MAJALENGKA,April,4.76,2026,4/1/2026
KAB MAJALENGKA,Mei,4.81,2026,5/1/2026
KAB SUBANG,Januari,0.96,2026,1/1/2026
KAB SUBANG,Februari,3.45,2026,2/1/2026
KAB SUBANG,Maret,3.45,2026,3/1/2026
KAB SUBANG,April,3.23,2026,4/1/2026
KAB SUBANG,Mei,4.12,2026,5/1/2026
KOTA BOGOR,Januari,-0.54,2026,1/1/2026
KOTA BOGOR,Februari,3.58,2026,2/1/2026
KOTA BOGOR,Maret,3.38,2026,3/1/2026
KOTA BOGOR,April,3.42,2026,4/1/2026
KOTA BOGOR,Mei,6.08,2026,5/1/2026
KOTA SUKABUMI,Januari,0.78,2026,1/1/2026
KOTA SUKABUMI,Februari,3.41,2026,2/1/2026
KOTA SUKABUMI,Maret,3.67,2026,3/1/2026
KOTA SUKABUMI,April,4.11,2026,4/1/2026
KOTA SUKABUMI,Mei,5.16,2026,5/1/2026
KOTA BANDUNG,Januari,0.83,2026,1/1/2026
KOTA BANDUNG,Februari,3.48,2026,2/1/2026
KOTA BANDUNG,Maret,3.45,2026,3/1/2026
KOTA BANDUNG,April,4.22,2026,4/1/2026
KOTA BANDUNG,Mei,6.6,2026,5/1/2026
KOTA CIREBON,Januari,1.5,2026,1/1/2026
KOTA CIREBON,Februari,5.14,2026,2/1/2026
KOTA CIREBON,Maret,4.68,2026,3/1/2026
KOTA CIREBON,April,5.73,2026,4/1/2026
KOTA CIREBON,Mei,7.39,2026,5/1/2026
KOTA BEKASI,Januari,0.43,2026,1/1/2026
KOTA BEKASI,Februari,3.6,2026,2/1/2026
KOTA BEKASI,Maret,3.35,2026,3/1/2026
KOTA BEKASI,April,3.22,2026,4/1/2026
KOTA BEKASI,Mei,6.01,2026,5/1/2026
KOTA DEPOK,Januari,0.37,2026,1/1/2026
KOTA DEPOK,Februari,3.51,2026,2/1/2026
KOTA DEPOK,Maret,3.36,2026,3/1/2026
KOTA DEPOK,April,3.85,2026,4/1/2026
KOTA DEPOK,Mei,5.85,2026,5/1/2026
KOTA TASIKMALAYA,Januari,1.12,2026,1/1/2026
KOTA TASIKMALAYA,Februari,3.41,2026,2/1/2026
KOTA TASIKMALAYA,Maret,4.27,2026,3/1/2026
KOTA TASIKMALAYA,April,3.77,2026,4/1/2026
KOTA TASIKMALAYA,Mei,4.33,2026,5/1/2026
CILACAP,Januari,-1.19,2026,1/1/2026
CILACAP,Februari,2.7,2026,2/1/2026
CILACAP,Maret,2.96,2026,3/1/2026
CILACAP,April,3.2,2026,4/1/2026
CILACAP,Mei,6.35,2026,5/1/2026
PURWOKERTO,Januari,-0.87,2026,1/1/2026
PURWOKERTO,Februari,2.58,2026,2/1/2026
PURWOKERTO,Maret,2.99,2026,3/1/2026
PURWOKERTO,April,2.96,2026,4/1/2026
PURWOKERTO,Mei,5.6,2026,5/1/2026
KAB WONOSOBO,Januari,-1,2026,1/1/2026
KAB WONOSOBO,Februari,1.87,2026,2/1/2026
KAB WONOSOBO,Maret,2.24,2026,3/1/2026
KAB WONOSOBO,April,1,2026,4/1/2026
