commodity,year,month,price,date
Cabai Rawit Merah,2022,Agustus,63360,8/1/2022
Daging Sapi Murni,2022,Agustus,133969,8/1/2022
Daging Ayam Ras,2022,Agustus,35489,8/1/2022
Telur Ayam Ras,2022,Agustus,28834,8/1/2022
Gula Pasir Lokal/Curah,2022,Agustus,14401,8/1/2022
Tepung Terigu Curah,2022,Agustus,10507,8/1/2022
Minyak Goreng Kemasan,2022,Agustus,20078,8/1/2022
Minyak Goreng Curah,2022,Agustus,14174,8/1/2022
Jagung Tk. Peternak,2022,Agustus,5334,8/1/2022
Beras Premium,2022,September,12570,9/1/2022
Beras Medium,2022,September,11024,9/1/2022
Kedelai Biji Kering,2022,September,13895,9/1/2022
Bawang Merah,2022,September,34587,9/1/2022
Bawang Putih (Bonggol),2022,September,26296,9/1/2022
Cabai Merah Keriting,2022,September,62451,9/1/2022
Cabai Rawit Merah,2022,September,62867,9/1/2022
Daging Sapi Murni,2022,September,134281,9/1/2022
Daging Ayam Ras,2022,September,35251,9/1/2022
Telur Ayam Ras,2022,September,29065,9/1/2022
Gula Pasir Lokal/Curah,2022,September,14359,9/1/2022
Tepung Terigu Curah,2022,September,10791,9/1/2022
Minyak Goreng Kemasan,2022,September,19031,9/1/2022
Minyak Goreng Curah,2022,September,13924,9/1/2022
Jagung Tk. Peternak,2022,September,5357,9/1/2022
Beras Premium,2022,Oktober,12728,10/1/2022
Beras Medium,2022,Oktober,11144,10/1/2022
Kedelai Biji Kering,2022,Oktober,14115,10/1/2022
Bawang Merah,2022,Oktober,33778,10/1/2022
Bawang Putih (Bonggol),2022,Oktober,25934,10/1/2022
Cabai Merah Keriting,2022,Oktober,46646,10/1/2022
Cabai Rawit Merah,2022,Oktober,55523,10/1/2022
Daging Sapi Murni,2022,Oktober,134433,10/1/2022
Daging Ayam Ras,2022,Oktober,34282,10/1/2022
Telur Ayam Ras,2022,Oktober,27179,10/1/2022
Gula Pasir Lokal/Curah,2022,Oktober,14277,10/1/2022
Tepung Terigu Curah,2022,Oktober,10933,10/1/2022
Minyak Goreng Kemasan,2022,Oktober,18255,10/1/2022
Minyak Goreng Curah,2022,Oktober,13779,10/1/2022
Jagung Tk. Peternak,2022,Oktober,5402,10/1/2022
Beras Premium,2022,November,12796,11/1/2022
Beras Medium,2022,November,11196,11/1/2022
Kedelai Biji Kering,2022,November,14568,11/1/2022
Bawang Merah,2022,November,35146,11/1/2022
Bawang Putih (Bonggol),2022,November,25701,11/1/2022
Cabai Merah Keriting,2022,November,36830,11/1/2022
Cabai Rawit Merah,2022,November,44991,11/1/2022
Daging Sapi Murni,2022,November,134716,11/1/2022
Daging Ayam Ras,2022,November,34691,11/1/2022
Telur Ayam Ras,2022,November,27725,11/1/2022
Gula Pasir Lokal/Curah,2022,November,14267,11/1/2022
Tepung Terigu Curah,2022,November,11023,11/1/2022
Minyak Goreng Kemasan,2022,November,17967,11/1/2022
